role,country_group,exp_bucket,median,p75,n
AI/ML engineer,other,0-2yr,36089.0,54432.0,17
AI/ML engineer,other,3-5yr,45847.0,55687.0,29
AI/ML engineer,other,6-10yr,78910.0,105525.75,32
AI/ML engineer,other,11-20yr,89427.0,123339.5,31
AI/ML engineer,other,20yr+,87011.0,113823.5,11
AI/ML engineer,tier1,0-2yr,82000.0,100000.0,17
AI/ML engineer,tier1,3-5yr,110000.0,151000.0,29
AI/ML engineer,tier1,6-10yr,145522.5,201529.25,40
AI/ML engineer,tier1,11-20yr,173492.0,212500.0,28
AI/ML engineer,tier1,20yr+,200000.0,251250.0,24
Academic researcher,other,0-2yr,30396.0,34514.0,10
Academic researcher,other,3-5yr,35965.0,44375.5,35
Academic researcher,other,6-10yr,43501.0,60235.0,33
Academic researcher,other,11-20yr,46406.0,64191.5,39
Academic researcher,other,20yr+,64968.0,75410.0,33
Academic researcher,tier1,0-2yr,58007.0,69304.5,19
Academic researcher,tier1,3-5yr,67680.0,75431.25,44
Academic researcher,tier1,6-10yr,71510.0,87011.0,51
Academic researcher,tier1,11-20yr,81210.0,102803.0,63
Academic researcher,tier1,20yr+,103277.5,133750.0,30
Applied scientist,tier1,3-5yr,102097.0,140750.0,10
Applied scientist,tier1,6-10yr,132609.0,152500.0,20
Applied scientist,tier1,11-20yr,157500.0,240000.0,32
Applied scientist,tier1,20yr+,141303.5,200000.0,24
"Architect, software or solutions",india,6-10yr,34872.0,49982.75,14
"Architect, software or solutions",india,11-20yr,55795.0,70615.75,32
"Architect, software or solutions",other,3-5yr,37210.0,46406.0,29
"Architect, software or solutions",other,6-10yr,68906.0,89973.0,96
"Architect, software or solutions",other,11-20yr,75577.0,109255.75,248
"Architect, software or solutions",other,20yr+,84093.0,116015.0,186
"Architect, software or solutions",tier1,3-5yr,87011.0,115000.0,14
"Architect, software or solutions",tier1,6-10yr,116015.0,150000.0,69
"Architect, software or solutions",tier1,11-20yr,136141.0,175000.0,246
"Architect, software or solutions",tier1,20yr+,153989.0,203159.0,306
