role_clean,cluster,ConvertedCompYearly
Data Engineer,3,70000
Data Engineer,1,175000
Data Engineer,1,41765
Data Analyst,2,98612
Data Engineer,2,91215
Data Analyst,1,60000
Data Scientist,3,330000
Data Analyst,2,49886
Data Analyst,1,160000
Data Analyst,2,200000
Data Engineer,1,250000
Data Engineer,3,95132
Data Scientist,1,139218
Data Engineer,2,148791
Data Scientist,2,208826
Data Scientist,3,32484
Data Engineer,1,38549
Data Engineer,1,83902
Data Analyst,1,102106
Data Scientist,2,103000
Data Scientist,3,55687
Data Scientist,1,100000
Data Analyst,3,65348
Data Engineer,3,150000
Data Engineer,3,139218
Data Analyst,1,47840
Data Engineer,3,50606
Data Scientist,1,70000
Data Engineer,2,210000
Data Engineer,3,46464
Data Scientist,2,30164
Data Scientist,2,69609
Data Engineer,3,136450
Data Analyst,2,80000
Data Engineer,3,98827
Data Analyst,2,140000
Data Engineer,3,125000
Data Scientist,3,123000
Data Analyst,1,31583
Data Engineer,3,34872
Data Scientist,2,190000
Data Engineer,3,145018
Data Engineer,2,24575
Data Engineer,3,67289
Data Scientist,3,150819
Data Scientist,1,182396
Data Analyst,1,41765
Data Scientist,3,176131
Data Analyst,1,100000
Data Engineer,3,116015
Data Scientist,2,136000
Data Engineer,2,63247
Data Analyst,2,103000
Data Scientist,2,82910
Data Scientist,1,72958
Data Scientist,3,174022
Data Scientist,3,43280
Data Scientist,2,140000
Data Scientist,3,47105
Data Scientist,1,102400
Data Scientist,1,150000
Data Analyst,1,65663
Data Engineer,3,250000
Data Scientist,1,42653
Data Engineer,3,78959
Data Scientist,3,60328
Data Engineer,3,167000
Data Scientist,3,200000
Data Engineer,1,120000
Data Engineer,3,41868
Data Engineer,1,143000
Data Engineer,3,47932
Data Analyst,1,85000
Data Engineer,3,60328
Data Engineer,1,165000
Data Scientist,3,200000
Data Engineer,1,70000
Data Analyst,1,78794
Data Engineer,2,190000
Data Scientist,1,210000
Data Engineer,1,77361
Data Engineer,3,109438
Data Analyst,1,75000
Data Scientist,3,21844
Data Analyst,1,105000
Data Scientist,3,210000
Data Scientist,2,150000
Data Engineer,3,80000
Data Analyst,3,153745
Data Engineer,2,160000
Data Scientist,1,10462
Data Engineer,2,152968
Data Scientist,3,95000
Data Analyst,1,200000
Data Engineer,3,81210
Data Scientist,3,52207
Data Scientist,1,152511
Data Scientist,2,30164
Data Scientist,2,127616
Data Analyst,3,55687
Data Analyst,1,15480
Data Analyst,1,61264
Data Scientist,1,63808
Data Scientist,1,149756
Data Engineer,3,46406
Data Engineer,1,31385
Data Scientist,1,64040
Data Engineer,3,89098
Data Scientist,1,116015
Data Scientist,3,69609
Data Engineer,1,68071
Data Engineer,3,73089
Data Analyst,2,11043
Data Scientist,1,87011
Data Engineer,3,34804
Data Engineer,1,49886
Data Engineer,2,81210
Data Engineer,2,78890
Data Engineer,3,88171
Data Scientist,1,29004
Data Analyst,1,17256
Data Engineer,1,68071
Data Engineer,3,121815
Data Scientist,1,75410
Data Engineer,3,85851
Data Engineer,2,88492
Data Engineer,3,62648
Data Analyst,3,52411
Data Scientist,1,175000
Data Analyst,1,54719
Data Engineer,3,180000
Data Engineer,1,125000
Data Analyst,1,58500
Data Analyst,1,61770
Data Scientist,2,160000
Data Scientist,3,69609
Data Scientist,3,110000
Data Scientist,3,150000
Data Engineer,3,82000
Data Scientist,3,128304
Data Engineer,2,110214
Data Scientist,1,250000
Data Engineer,1,80000
Data Engineer,1,68071
Data Scientist,1,100000
