skill,skill_label,skill_family,n_with,n_without,prevalence_pct,with_skill,without_skill,premium_pct
lang_ruby,Ruby,lang,24,1040,2.2556390977443606,144850.95833333334,100775.73076923077,43.73595430930857
lang_perl,Perl,lang,23,1041,2.161654135338346,141696.08695652173,100887.77425552353,40.449214983810556
lang_dart,Dart,lang,20,1044,1.8796992481203008,133011.95,101171.40229885057,31.471885313100167
plat_homebrew,Homebrew,plat,221,843,20.770676691729324,123377.27601809955,96105.34400948991,28.377123342815015
plat_amazon_web_services_aws,Amazon Web Services Aws,plat,425,639,39.943609022556394,117102.38352941176,91572.25352112677,27.879766006189755
lang_kotlin,Kotlin,lang,39,1025,3.6654135338345863,127461.43589743589,100792.37756097561,26.45939998818512
db_dynamodb,Dynamodb,db,73,991,6.860902255639098,125070.46575342465,100053.52068617559,25.003562988769133
db_bigquery,Bigquery,db,184,880,17.293233082706767,117005.01630434782,98584.38636363637,18.685139320911826
plat_kubernetes,Kubernetes,plat,266,798,25.0,115057.34586466165,97340.76315789473,18.200579214721337
lang_lua,Lua,lang,43,1021,4.041353383458646,118231.72093023256,101076.61018609206,16.972384325667676
db_snowflake,Snowflake,db,145,919,13.62781954887218,116324.64137931034,99473.46028291622,16.940378919630472
lang_c,C,lang,87,977,8.17669172932331,114807.9540229885,100608.89559877175,14.113124231919416
plat_make,Make,plat,179,885,16.823308270676694,113245.52513966481,99448.85197740114,13.87313466966802
lang_rust,Rust,lang,111,953,10.43233082706767,114120.87387387388,100331.3389296957,13.743995735809712
lang_bash_shell_all_shells,Bash Shell All Shells,lang,543,521,51.03383458646616,107638.31860036832,95653.69673704414,12.529177932631708
db_h2,H2,db,12,1052,1.1278195488721803,113194.58333333333,101639.58935361217,11.36859569504991
db_redis,Redis,db,152,912,14.285714285714285,111171.28289473684,100203.01315789473,10.946047819499082
plat_google_cloud,Google Cloud,plat,278,786,26.127819548872182,108689.99280575539,99322.34732824427,9.431558686941388
lang_go,Go,lang,117,947,10.996240601503759,109779.4017094017,100780.35163674763,8.929369590900249
lang_groovy,Groovy,lang,28,1036,2.631578947368421,110578.25,101531.84555984556,8.909918253009842
lang_typescript,Typescript,lang,192,872,18.045112781954884,108797.171875,100222.62155963303,8.5555039191078
plat_docker,Docker,plat,601,463,56.484962406015036,105215.71547420965,97297.05831533477,8.138639847888228
plat_nuget,Nuget,plat,52,1012,4.887218045112782,109378.28846153847,101378.96442687747,7.890516617410048
plat_pip,Pip,plat,550,514,51.691729323308266,105303.85636363637,97988.44747081712,7.465583016812194
db_supabase,Supabase,db,38,1026,3.571428571428571,108634.34210526316,101515.67056530215,7.012386856452646
db_elasticsearch,Elasticsearch,db,114,950,10.714285714285714,108049.11403508772,101016.40421052632,6.961948289017172
plat_vite,Vite,plat,77,987,7.236842105263158,108303.16883116883,101260.22188449847,6.955294799475986
lang_java,Java,lang,169,895,15.88345864661654,106340.5798816568,100906.843575419,5.384903653414308
lang_assembly,Assembly,lang,26,1038,2.443609022556391,106522.07692307692,101650.87572254335,4.7920897541793295
lang_r,R,lang,210,854,19.736842105263158,105097.96666666666,100951.53395784543,4.1073498799460095
plat_npm,Npm,plat,260,804,24.43609022556391,104517.82692307692,100881.27860696518,3.6047801597358653
plat_yarn,Yarn,plat,68,996,6.390977443609022,104573.51470588235,101578.49799196787,2.948475093765701
lang_python,Python,lang,927,137,87.12406015037594,102130.14886731391,99332.37226277373,2.816580879734709
lang_javascript,Javascript,lang,405,659,38.06390977443609,103397.62716049382,100769.5660091047,2.6079909395974488
lang_swift,Swift,lang,11,1053,1.0338345864661653,102754.18181818182,101759.62678062679,0.9773571985470131
db_cosmos_db,Cosmos Db,db,47,1017,4.417293233082707,101750.53191489361,101770.80432645035,-0.019919673123258708
lang_sql,Sql,lang,744,320,69.92481203007519,101244.22043010753,102992.134375,-1.6971334320815434
db_sqlite,Sqlite,db,306,758,28.7593984962406,100166.65032679739,102417.1345646438,-2.1973708280482507
db_postgresql,Postgresql,db,536,528,50.37593984962406,100598.67723880598,102958.88636363637,-2.292380199698807
db_mariadb,Mariadb,db,115,949,10.808270676691729,96893.86956521739,102360.78819810327,-5.340832880561175
lang_html_css,Html Css,lang,414,650,38.90977443609023,97908.01207729468,104229.64,-6.065096188287056
db_mysql,Mysql,db,263,801,24.718045112781954,96428.47908745248,103523.71161048689,-6.853726950720795
lang_powershell,Powershell,lang,218,846,20.48872180451128,95636.42660550459,103350.40425531915,-7.4639066052976215
plat_microsoft_azure,Microsoft Azure,plat,296,768,27.819548872180448,95198.93581081081,104302.47135416667,-8.728015190018013
db_mongodb,Mongodb,db,163,901,15.319548872180452,92585.12883435583,103431.52830188679,-10.486550518593763
lang_visual_basic_net,Visual Basic Net,lang,21,1043,1.9736842105263157,90171.33333333333,102003.43720038352,-11.599710942883501
lang_php,Php,lang,63,1001,5.921052631578947,90499.22222222222,102479.25274725274,-11.690200898104896
db_microsoft_sql_server,Microsoft Sql Server,db,316,748,29.69924812030075,90725.61392405063,106435.68048128342,-14.760150436577879
db_oracle,Oracle,db,125,939,11.74812030075188,86407.296,103814.98509052183,-16.76799267017487
lang_vba,Vba,lang,77,987,7.236842105263158,83997.24675324676,103156.42857142857,-18.572940226323777
